Vehicle Type,Vehicle Model,Action,Date,Time,Parking Lot ID,Latitude,Longitude
SUV,Ford,Left,2024-03-28,03:25,1011,40.737454011884736,-74.01685708143133
Motorcycle,Chevrolet,Parked,2024-03-27,07:57,1016,40.79507143064099,-73.95635895887362
Car,Nissan,Searching,2024-04-03,17:27,1017,40.77319939418114,-73.98856440189236
SUV,Honda,Left,2024-03-29,04:40,1004,40.7598658484197,-73.96914293088354
SUV,Nissan,Left,2024-03-29,03:26,1001,40.715601864044245,-73.92924335260739
Motorcycle,Ford,Left,2024-03-27,21:16,1008,40.71559945203362,-73.9950707770851
Car,Ford,Parked,2024-04-02,08:32,1017,40.705808361216825,-73.97896170769644
Motorcycle,Nissan,Left,2024-03-28,20:19,1003,40.786617614577494,-73.94444488614569
Car,Toyota,Searching,2024-03-29,12:27,1020,40.76011150117432,-73.99712018345083
Van,Tesla,Left,2024-03-28,15:28,1015,40.7708072577796,-74.01230200901712
Truck,Ford,Left,2024-03-29,12:45,1015,40.702058449429586,-73.99102485470863
Truck,Nissan,Searching,2024-03-31,02:05,1014,40.7969909852162,-74.0038778712746
Truck,Chevrolet,Left,2024-04-02,17:50,1014,40.78324426408004,-73.92703023476574
Motorcycle,Nissan,Parked,2024-03-31,04:46,1002,40.72123391106783,-73.93918796204356
Van,BMW,Parked,2024-03-29,01:09,1013,40.718182496720715,-73.95665962434896
Car,Tesla,Parked,2024-04-03,23:29,1014,40.718340450985345,-73.93285394098123
SUV,Honda,Searching,2024-04-03,17:58,1019,40.73042422429595,-73.93963279231009
Car,Toyota,Left,2024-03-31,12:04,1007,40.75247564316322,-74.0013429941114
SUV,Honda,Parked,2024-04-03,22:55,1003,40.74319450186421,-73.930744100151
Car,Tesla,Searching,2024-03-29,00:53,1015,40.729122914019804,-73.96606577580843
Van,Tesla,Left,2024-03-27,00:17,1014,40.76118528947224,-73.9392559844836
SUV,Tesla,Searching,2024-03-31,14:48,1011,40.71394938606521,-73.93039087000766
Motorcycle,Honda,Parked,2024-03-26,10:20,1015,40.72921446485352,-73.98819965250281
Car,Chevrolet,Parked,2024-04-02,21:58,1013,40.73663618432937,-74.00899480754723
Car,Tesla,Parked,2024-04-03,16:12,1018,40.74560699842171,-73.9972064837458
SUV,Nissan,Searching,2024-04-03,00:33,1006,40.7785175961393,-73.97728922113737
Motorcycle,Honda,Searching,2024-03-25,08:34,1003,40.719967378215834,-73.93819852340775
Motorcycle,Tesla,Parked,2024-03-30,00:20,1019,40.75142344384136,-73.93392694167437
Van,Nissan,Searching,2024-03-31,15:54,1015,40.7592414568862,-74.01930478694688
Motorcycle,Chevrolet,Parked,2024-04-01,05:27,1005,40.704645041272,-73.96892526974224
Motorcycle,BMW,Parked,2024-04-03,16:04,1010,40.76075448519014,-73.97825889968512
Motorcycle,Chevrolet,Left,2024-04-02,04:37,1007,40.71705241236873,-73.99778921895292
Truck,Tesla,Searching,2024-03-26,02:52,1017,40.70650515929853,-74.00801346326662
Van,Honda,Parked,2024-04-03,22:36,1007,40.79488855372533,-73.98623848285963
Car,Ford,Parked,2024-03-26,20:36,1012,40.79656320330745,-73.92570902960875
SUV,Tesla,Searching,2024-03-29,09:09,1017,40.78083973481164,-73.98767970679792
Car,Ford,Left,2024-03-29,18:16,1013,40.73046137691734,-73.96812093782566
